Date,Open,High,Low,Close*,Adj Close**,
12/20/21,"4,587.90","4,587.90","4,531.10","4,568.02","4,568.02",
12/17/21,"4,652.50","4,666.70","4,600.22","4,620.64","4,620.64",
12/16/21,"4,719.13","4,731.99","4,651.89","4,668.67","4,668.67",
12/15/21,"4,636.46","4,712.60","4,611.22","4,709.85","4,709.85",
12/14/21,"4,642.99","4,660.47","4,606.52","4,634.09","4,634.09",
12/13/21,"4,710.30","4,710.30","4,667.60","4,668.97","4,668.97",
12/10/21,"4,687.64","4,713.57","4,670.24","4,712.02","4,712.02",
12/9/21,"4,691.00","4,695.26","4,665.98","4,667.45","4,667.45",
12/8/21,"4,690.86","4,705.06","4,674.52","4,701.21","4,701.21",
12/7/21,"4,631.97","4,694.04","4,631.97","4,686.75","4,686.75",
12/6/21,"4,548.37","4,612.60","4,540.51","4,591.67","4,591.67",
12/3/21,"4,589.49","4,608.03","4,495.12","4,538.43","4,538.43",
12/2/21,"4,504.73","4,595.46","4,504.73","4,577.10","4,577.10",
12/1/21,"4,602.82","4,652.94","4,510.27","4,513.04","4,513.04",
11/30/21,"4,640.25","4,646.02","4,560.00","4,567.00","4,567.00",
11/29/21,"4,628.75","4,672.95","4,625.26","4,655.27","4,655.27",
11/26/21,"4,664.63","4,664.63","4,585.43","4,594.62","4,594.62",
11/24/21,"4,675.78","4,702.87","4,659.89","4,701.46","4,701.46",
11/23/21,"4,678.48","4,699.39","4,652.66","4,690.70","4,690.70",
11/22/21,"4,712.00","4,743.83","4,682.17","4,682.94","4,682.94",
11/19/21,"4,708.44","4,717.75","4,694.22","4,697.96","4,697.96",
11/18/21,"4,700.72","4,708.80","4,672.78","4,704.54","4,704.54",
11/17/21,"4,701.50","4,701.50","4,684.41","4,688.67","4,688.67",
11/16/21,"4,679.42","4,714.95","4,679.42","4,700.90","4,700.90",
11/15/21,"4,689.30","4,697.42","4,672.86","4,682.80","4,682.80",
11/12/21,"4,655.24","4,688.47","4,650.77","4,682.85","4,682.85",
11/11/21,"4,659.39","4,664.55","4,648.31","4,649.27","4,649.27",
11/10/21,"4,670.26","4,684.85","4,630.86","4,646.71","4,646.71",
11/9/21,"4,707.25","4,708.53","4,670.87","4,685.25","4,685.25",
11/8/21,"4,701.48","4,714.92","4,694.39","4,701.70","4,701.70",
11/5/21,"4,699.26","4,718.50","4,681.32","4,697.53","4,697.53",
11/4/21,"4,662.93","4,683.00","4,662.59","4,680.06","4,680.06",
11/3/21,"4,630.65","4,663.46","4,621.19","4,660.57","4,660.57",
11/2/21,"4,613.34","4,635.15","4,613.34","4,630.65","4,630.65",
11/1/21,"4,610.62","4,620.34","4,595.06","4,613.67","4,613.67",
10/29/21,"4,572.87","4,608.08","4,567.59","4,605.38","4,605.38",
10/28/21,"4,562.84","4,597.55","4,562.84","4,596.42","4,596.42",
10/27/21,"4,580.22","4,584.57","4,551.66","4,551.68","4,551.68",
10/26/21,"4,578.69","4,598.53","4,569.17","4,574.79","4,574.79",
10/25/21,"4,553.69","4,572.62","4,537.36","4,566.48","4,566.48",
10/22/21,"4,546.12","4,559.67","4,524.00","4,544.90","4,544.90",
10/21/21,"4,532.24","4,551.44","4,526.89","4,549.78","4,549.78",
10/20/21,"4,524.42","4,540.87","4,524.40","4,536.19","4,536.19",
10/19/21,"4,497.34","4,520.40","4,496.41","4,519.63","4,519.63",
10/18/21,"4,463.72","4,488.75","4,447.47","4,486.46","4,486.46",
10/15/21,"4,447.69","4,475.82","4,447.69","4,471.37","4,471.37",
10/14/21,"4,386.75","4,439.73","4,386.75","4,438.26","4,438.26",
10/13/21,"4,358.01","4,372.87","4,329.92","4,363.80","4,363.80",
10/12/21,"4,368.31","4,374.89","4,342.09","4,350.65","4,350.65",
10/11/21,"4,385.44","4,415.88","4,360.59","4,361.19","4,361.19",
10/8/21,"4,406.51","4,412.02","4,386.22","4,391.34","4,391.34",
10/7/21,"4,383.73","4,429.97","4,383.73","4,399.76","4,399.76",
10/6/21,"4,319.57","4,365.57","4,290.49","4,363.55","4,363.55",
10/5/21,"4,309.87","4,369.23","4,309.87","4,345.72","4,345.72",
10/4/21,"4,348.84","4,355.51","4,278.94","4,300.46","4,300.46",
10/1/21,"4,317.16","4,375.19","4,288.52","4,357.04","4,357.04",
9/30/21,"4,370.67","4,382.55","4,306.24","4,307.54","4,307.54",
9/29/21,"4,362.41","4,385.57","4,355.08","4,359.46","4,359.46",
9/28/21,"4,419.54","4,419.54","4,346.33","4,352.63","4,352.63",
9/27/21,"4,442.12","4,457.30","4,436.19","4,443.11","4,443.11",
9/24/21,"4,438.04","4,463.12","4,430.27","4,455.48","4,455.48",
9/23/21,"4,406.75","4,465.40","4,406.75","4,448.98","4,448.98",
9/22/21,"4,367.43","4,416.75","4,367.43","4,395.64","4,395.64",
9/21/21,"4,374.45","4,394.87","4,347.96","4,354.19","4,354.19",
9/20/21,"4,402.95","4,402.95","4,305.91","4,357.73","4,357.73",
9/17/21,"4,469.74","4,471.52","4,427.76","4,432.99","4,432.99",
9/16/21,"4,477.09","4,485.87","4,443.80","4,473.75","4,473.75",
9/15/21,"4,447.49","4,486.87","4,438.37","4,480.70","4,480.70",
9/14/21,"4,479.33","4,485.68","4,435.46","4,443.05","4,443.05",
